"date","temp"
2013-01-02,-3.91993778043757
2013-01-03,-1.45640916332865
2013-01-04,-0.694651278969414
2013-01-05,-1.37635883644329
2013-01-06,-4.19586524312431
2013-01-07,-6.42275148202865
2013-01-08,-7.81010393133026
2013-01-09,-10.9632372866268
2013-01-10,-10.3422465029007
2013-01-11,-4.49243574166135
2013-01-12,-5.40937031878317
2013-01-13,-8.34715746761229
2013-01-14,-10.6185033018297
2013-01-15,-5.74465858626417
2013-01-16,-0.584317614571634
2013-01-17,-2.04803148287814
2013-01-18,-3.40798053293167
2013-01-19,-2.2419804101674
2013-01-20,-3.04449384133872
2013-01-21,-1.32553960235636
2013-01-22,-1.62262046999766
2013-01-23,-4.82282719306337
2013-01-24,-7.83578277919484
2013-01-25,-9.73695594417817
2013-01-26,-12.6473269855091
2013-01-27,-10.9312558122732
2013-01-28,-7.82914444126581
2013-01-29,-5.41311843900509
2013-01-30,-4.1824018226399
2013-01-31,-2.39723205040969
2013-02-01,-0.800731754038828
2013-02-02,-0.67525174870617
2013-02-03,0.697940486986771
2013-02-04,-1.70494543836979
2013-02-05,-1.49679218784997
2013-02-06,-0.438273067481729
2013-02-07,0.27730379637445
2013-02-08,0.304939776974293
2013-02-09,-0.773197449183137
2013-02-10,-1.87578184883428
2013-02-11,-1.37053396961613
2013-02-12,-2.22176802936425
2013-02-13,-1.62977606271225
2013-02-14,-1.63529549846869
2013-02-15,-2.53137647416279
2013-02-16,-3.74013028855314
2013-02-17,-5.01343487277157
2013-02-18,-5.90960338835909
2013-02-19,-5.13004796148924
2013-02-20,-2.54979479291165
2013-02-21,-2.44398927318681
2013-02-22,-2.20767814483341
2013-02-23,-2.92238677019806
2013-02-24,-3.59456599370822
2013-02-25,-2.409593053258
2013-02-26,-2.82798656729038
2013-02-27,-3.04933120701834
2013-02-28,-0.805830632207326
2013-03-01,0.407025955180467
2013-03-02,-0.790895016367051
2013-03-03,-0.350737260747007
2013-03-04,-3.20190287403328
2013-03-05,-5.15384511124571
2013-03-06,-1.07754642080094
2013-03-07,2.00703455736257
2013-03-08,0.0236887437681805
2013-03-09,-1.46308900459063
2013-03-10,0.249525615844039
2013-03-11,-0.330254229070047
2013-03-12,-2.29888565238121
2013-03-13,-0.015347811806116
2013-03-14,2.43171412548675
2013-03-15,3.16080249083089
2013-03-16,-3.19495799792835
2013-03-17,-4.96885311158601
2013-03-18,-3.78118340272149
2013-03-19,0.380727156875063
2013-03-20,1.7092094775391
2013-03-21,1.76387963728351
2013-03-22,0.976636872187789
2013-03-23,-3.51221190071924
2013-03-24,-6.74069809687197
2013-03-25,-6.01442021815939
2013-03-26,-5.25500775817761
2013-03-27,-4.41774093102502
2013-03-28,-4.49701281756788
2013-03-29,-2.85509990890322
2013-03-30,0.74008274837327
2013-03-31,4.1154332505333
2013-04-01,5.95101603439258
2013-04-02,4.12381833459449
2013-04-03,4.66563259907844
2013-04-04,6.09573345556371
2013-04-05,7.34367446000639
2013-04-06,6.0001977049796
2013-04-07,2.60231818928756
2013-04-08,1.76509711127506
2013-04-09,3.54688908267769
2013-04-10,5.0757357427866
2013-04-11,5.82618306295418
2013-04-12,7.67099795106185
2013-04-13,8.60063665012508
2013-04-14,8.56193221469731
2013-04-15,8.32540389660399
2013-04-16,8.54999561128499
2013-04-17,9.20613833710689
2013-04-18,10.9655932166888
2013-04-19,12.4590641660146
2013-04-20,13.2751801447538
2013-04-21,10.2671611402884
2013-04-22,8.00053465511775
2013-04-23,9.99399817339299
2013-04-24,12.6958325981255
2013-04-25,13.2949513721176
2013-04-26,13.4874899381021
2013-04-27,16.4953433388568
2013-04-28,16.5837300658674
2013-04-29,15.8412143982224
2013-04-30,18.162415638025
2013-05-01,17.5827324869743
2013-05-02,16.0767105145172
2013-05-03,18.4988618757032
2013-05-04,18.3722571815816
2013-05-05,17.2554445306529
2013-05-06,16.213777002792
2013-05-07,15.6489008158356
2013-05-08,16.6789877921398
2013-05-09,17.9175618350139
2013-05-10,18.729481352457
2013-05-11,18.948730847263
2013-05-12,18.8718357852232
2013-05-13,17.860607783785
2013-05-14,17.4586488400348
2013-05-15,18.7814588682108
2013-05-16,19.5198911655626
2013-05-17,19.9658018755297
2013-05-18,19.4538959313366
2013-05-19,20.1084044769521
2013-05-20,20.3226769585338
2013-05-21,18.8156171340994
2013-05-22,18.0012937160228
2013-05-23,18.3514381238055
2013-05-24,18.1157781997538
2013-05-25,16.2691026557386
2013-05-26,17.8202344427861
2013-05-27,16.3542626767719
2013-05-28,15.656509435994
2013-05-29,17.4294410329989
2013-05-30,19.3556913185372
2013-05-31,19.6425150596232
2013-06-01,17.5050986322219
2013-06-02,16.6840146930767
2013-06-03,17.1717128804383
2013-06-04,17.543476052275
2013-06-05,17.7436397757738
2013-06-06,18.3344225540236
2013-06-07,18.9047127145965
2013-06-08,20.0611814704172
2013-06-09,20.8690923571398
2013-06-10,21.4884058706714
2013-06-11,21.5729680077131
2013-06-12,20.8975656107634
2013-06-13,20.8080289112659
2013-06-14,22.5803460187308
2013-06-15,23.0131046020808
2013-06-16,22.1895002485675
2013-06-17,23.3889235997808
2013-06-18,21.6696887681314
2013-06-19,19.6633857399438
2013-06-20,20.4466219172664
2013-06-21,21.7319404854911
2013-06-22,22.7854356527913
2013-06-23,22.3209736945515
2013-06-24,22.0668921324116
2013-06-25,23.4549354271002
2013-06-26,23.4973981347898
2013-06-27,23.5623292857357
2013-06-28,24.2084953398786
2013-06-29,22.216273112155
2013-06-30,21.3471043889636
2013-07-01,19.6122074797048
