"year","load"
2001,19041.095890411
2002,19121.00456621
2003,19452.0547945206
2004,19589.0410958904
2005,19326.4840182648
2006,19703.196347032
2007,20308.2191780822
2008,20456.6210045662
2009,18824.200913242
2010,20513.698630137
2011,20673.5159817352
2012,20399.5433789954
2013,20702.9544520548
2014,19698.6682648402
2015,16931.4005707763
2016,16516.2026255708
2017,16607.4464611872
2018,17024.0381278539
2019,16695.6431506849
2020,16017.3091324201
