"year","month","day","load"
2013,1,12,24737
2013,1,12,25165
2013,1,12,26467
2013,1,12,26898
2013,1,12,26598
2013,1,12,25877
2013,1,12,25435
2013,1,12,24641
2013,1,12,23230
2013,1,13,22380
2013,1,13,21441
2013,1,13,20731
2013,1,13,20413
2013,1,13,20286
2013,1,13,20468
2013,1,13,20759
2013,1,13,20956
2013,1,13,21423
2013,1,13,22663
2013,1,13,23461
2013,1,13,24281
2013,1,13,24112
2013,1,13,23858
2013,1,13,23890
2013,1,13,23816
2013,1,13,24500
2013,1,13,26027
2013,1,13,26400
2013,1,13,25939
2013,1,13,25350
2013,1,13,25337
2013,1,13,24584
2013,1,13,23298
2013,1,14,22491
2013,1,14,21572
2013,1,14,20979
2013,1,14,20599
2013,1,14,20866
2013,1,14,21117
2013,1,14,21999
2013,1,14,23714
2013,1,14,24800
2013,1,14,26008
2013,1,14,26379
2013,1,14,26378
2013,1,14,26030
2013,1,14,25891
2013,1,14,25787
2013,1,14,25888
2013,1,14,26341
2013,1,14,27519
2013,1,14,27670
2013,1,14,27298
2013,1,14,27043
2013,1,14,26473
2013,1,14,25727
2013,1,14,24038
2013,1,15,23069
2013,1,15,21921
2013,1,15,21544
2013,1,15,21277
2013,1,15,21222
2013,1,15,21665
2013,1,15,22750
2013,1,15,24172
2013,1,15,25480
2013,1,15,26615
2013,1,15,26939
2013,1,15,27002
2013,1,15,26645
2013,1,15,26385
2013,1,15,26371
2013,1,15,26400
2013,1,15,26621
2013,1,15,27991
2013,1,15,27902
2013,1,15,27546
2013,1,15,26970
2013,1,15,26397
2013,1,15,25373
2013,1,15,23764
2013,1,16,22482
2013,1,16,21262
2013,1,16,20918
2013,1,16,20481
2013,1,16,20456
2013,1,16,20824
2013,1,16,21631
2013,1,16,23380
2013,1,16,24174
2013,1,16,25232
2013,1,16,25574
2013,1,16,25506
2013,1,16,25528
2013,1,16,25226
2013,1,16,25277
2013,1,16,25332
2013,1,16,25790
2013,1,16,27028
2013,1,16,27095
2013,1,16,26704
2013,1,16,26329
2013,1,16,25790
2013,1,16,24859
2013,1,16,23116
2013,1,17,21900
2013,1,17,20690
2013,1,17,20269
2013,1,17,20120
2013,1,17,20082
2013,1,17,20414
2013,1,17,21241
2013,1,17,22831
2013,1,17,23979
2013,1,17,25086
2013,1,17,25403
2013,1,17,25512
2013,1,17,25355
2013,1,17,25323
2013,1,17,25520
2013,1,17,25430
2013,1,17,26086
2013,1,17,27006
