,prediction,real
0,-58.361088,-1630.17137108445
1,-151.64194,-1041.88295378389
2,-46.552494,-692.4394192203608
3,58.02136,-71.93005944063208
4,-84.07547,-49.27293854949626
5,-316.36008,-169.63089752141087
6,-679.13306,-1177.32083555356
7,-910.9323,-714.3553040135878
8,-471.35907,-491.230600690456
9,-69.14192,-342.204972841756
10,201.8082,-204.2278884859161
11,-26.094023,235.3552105068291
12,-176.1495,2.9397088529921085
13,347.04684,-59.78691057800734
14,413.76135,47.87338052486223
15,130.9447,409.7774120637661
16,-22.821318,528.1848895706541
17,213.86693,447.20314629563177
18,7.810556,-680.2235211428059
19,-35.687878,702.7244911368049
20,561.5945,258.60757950693807
21,113.98676,196.67694129649402
22,-1.6050342,557.4567295278318
23,-48.72728,-267.0451449814829
24,183.899,91.25981646871318
25,-198.54904,581.4168305615763
26,-327.90726,-142.71851154967706
27,205.14519,700.1964215521082
28,-119.395164,602.1161868991783
29,-286.61334,168.66861942162694
30,-307.65027,639.0342249364508
31,-13.119827,439.5452340004488
32,-80.15785,440.0018917078752
33,144.16748,398.10508378167384
34,635.72943,420.5915703108171
35,542.9978,431.65568914930316
36,186.14519,316.82615839832926
37,-84.557755,-181.37284187886613
38,-250.81042,-230.86294737727312
39,-340.677,-308.9072017823821
40,-222.40599,-294.7497895965691
41,379.46695,192.1205749522559
42,525.3121,205.90360765578126
43,212.17938,185.82634411496014
44,-89.73917,186.46090094518905
45,-88.03846,-504.5626450977861
46,-115.942955,-88.54279979323854
47,-24.419338,-422.2367477380769
48,233.46443,-293.3504441041689
49,328.3021,-403.6768430597752
50,108.65559,-45.483890243918644
51,201.08725,-324.28153532354395
52,148.05118,75.50932817942885
53,157.61111,104.83709857645886
54,148.66016,-289.63627398932397
55,93.92834,-297.01155685380905
56,171.75789,44.27739160078601
57,43.4479,228.95108803096426
58,160.87979,24.141181025703727
59,55.86129,336.2676503200832
60,136.83064,279.62201736548514
61,151.20462,409.295642939383
62,183.05602,344.3449118170288
63,103.52978,153.80719626093014
64,34.574688,310.09432692199283
65,-39.241375,212.84457537886192
66,-125.04693,397.8563840429919
67,-100.73667,-468.5226335278579
68,-37.366898,481.7722857082422
69,32.078537,359.2128154058797
70,-98.89363,189.31551518603186
71,-86.478386,-4.0390688675407365
72,-134.75725,-181.56002552184106
73,-64.46386,-88.45793022129834
74,30.8039,139.84239432544186
75,115.45313,206.09402216060778
76,150.86668,191.60297595962598
77,41.402287,212.73102588472207
78,36.44328,324.5248730879522
79,131.04987,274.5137804192329
80,297.81952,216.95285142913772
81,336.77603,-284.50203049143806
82,394.6458,119.85833475429406
83,346.39575,13.035213994833322
84,169.7067,43.766900036834286
85,72.13855,72.56134803714244
86,109.12641,-29.592212542644667
87,105.921234,-389.09502295716504
88,-105.757935,-355.94562179286487
89,-118.16064,-380.90827487448405
90,101.88948,107.47662950076804
91,159.31506,138.23472671792493
92,255.40028,180.25952127404003
93,335.1898,-131.22800850931708
94,256.27225,-252.86683377909802
95,117.16886,67.401928922292
96,-264.22028,129.0547291533331
97,-211.64018,208.46823618886117
98,-307.03323,231.2247971863069
99,-252.00746,230.9959331040211
100,48.078568,555.519696982923
101,-13.170627,676.626319526834
102,-199.16454,723.879077454436
103,-724.96674,684.6260904733151
104,-357.70773,968.8154530431726
105,-207.01215,1405.0372480632298
106,-205.69678,1051.9720602774098
107,-200.50514,324.11124261097774
108,-227.94098,219.45826072513714
109,-338.75095,355.6855541955948
110,-576.0557,6.15351922470695
111,-371.51688,285.7693157023899
112,-394.27557,92.55638448109084
113,-395.63757,147.73304385955592
114,-351.31488,643.6075380301379
115,-259.19113,207.76077806465173
116,-227.08575,711.098579117562
117,-295.00766,-911.2466914404612
118,-204.06375,-385.08499127481394
119,-583.7395,-1057.7071191814002
120,260.70294,514.0504617331591
121,-289.232,-292.128587101902
122,41.15944,-321.18161981246806
123,453.7317,68.01398230277486
124,557.49866,229.98279940987626
125,215.06474,284.11225326227003
126,454.16473,496.1604227299699
127,538.4308,204.84240327007916
128,721.3909,792.3608242335731
129,247.6202,-202.121528129402
130,304.1351,285.0527946648232
131,62.392914,243.57265730172884
132,-372.29855,266.3324353424632
133,-450.34027,402.2846198915338
134,-346.55612,559.8882168055771
135,-219.48749,696.6568270652117
136,34.126163,477.2271660611859
137,444.89224,764.3865164634767
138,550.8225,848.3240716491033
139,276.7281,554.1100062566547
140,101.34029,624.2768255526202
141,-115.58782,530.8645650842788
142,-117.04707,451.25245670147217
143,-42.147797,363.52742422847416
144,185.03828,691.3832835633171
145,293.8491,725.8963155211289
146,185.18263,404.8679487705092
147,235.02063,324.2590487778501
148,203.66364,442.7669490086031
149,213.59651,568.244699018974
150,211.59085,361.3008118574641
151,265.05438,149.31822285791094
152,197.3685,172.58274483145706
153,114.844315,228.0514486519898
154,76.47681,27.96203132557739
155,26.85113,212.96886522749773
156,-8.777231,25.12481948492351
157,16.578604,130.12127047538104
158,62.00975,212.78835999723705
159,114.2612,248.57562395985985
160,138.52098,68.65236655851405
161,112.638245,142.79289252512996
162,105.17891,227.30117387898528
163,93.3477,379.0500649351959
164,170.32806,317.68945305279493
165,267.5318,304.009446177038
166,344.76862,547.4963025779429
167,62.712425,-656.615804084864
168,115.14664,165.09780988296214
169,191.79324,603.1657378822352
170,177.26965,420.8568226233087
171,347.3089,474.5879605494208
172,453.6425,542.2978858128038
173,453.9801,559.512818846967
174,284.5856,311.4042677357049
175,219.36258,208.22171355921395
176,120.735214,204.29734926352018
177,32.24751,66.27568153896375
178,218.42496,649.5100209705419
179,-0.85109323,-130.8131651565571
180,38.742737,200.35706957592606
181,-68.98828,254.8924317862092
182,-41.150696,261.4908311263489
183,-94.25352,-278.54772980655696
184,-86.55707,-118.8276852729471
185,-75.87783,99.88819585120977
186,33.051785,425.5194634170297
187,114.993774,263.3041970648501
188,12.136423,481.96973535799475
189,-2.8988764,0.6535224315144516
190,-58.49289,262.5260400364581
191,2.3732903,218.577688404437
192,68.961555,32.14826882467917
193,210.05324,279.9002179441253
194,282.32285,544.702990287164
195,217.23085,196.89045502000994
196,192.53696,200.0529145114311
197,142.43999,206.402658760663
198,174.22105,218.94692383280227
199,244.7277,166.133468930993
200,288.81683,264.4097947954831
201,314.50165,173.66869187986003
202,282.3848,95.21445859608015
203,222.755,-4.8305597193172165
204,160.7026,-42.88997600335699
205,152.76067,130.07189096487505
206,212.41077,183.26883898945988
207,195.6884,215.8795848836571
208,231.38939,335.76238803872695
209,268.1287,188.0756043776941
210,207.14743,58.34449667079318
211,145.9131,-155.07064555853592
212,145.39967,67.72986559737718
213,219.80707,280.41784832800516
214,227.43538,679.5400924473191
215,309.9117,753.1009952286299
216,329.95496,386.58438846264585
217,253.3054,166.91479125815889
218,170.03209,103.0069558584129
219,153.51817,366.55814942185134
220,211.82503,223.21840231455727
221,251.53238,212.48178640492685
222,330.33658,379.77093415385576
223,279.95663,352.63550811616676
224,235.88702,696.04026811795
225,200.90915,570.3485097108313
226,210.8462,507.8678901082969
227,277.64246,326.89409846405215
228,339.13605,638.4185901579189
229,403.57138,545.8596077625409
230,305.50916,162.26259125429414
231,284.46326,395.49181547803397
232,239.3733,389.73194442343913
233,238.34027,281.7979622148578
234,290.18005,106.64251418414705
235,333.23492,68.84215432017885
236,382.6227,331.7203287389508
237,430.27463,921.0960270312078
238,34.111916,200.2349567274679
239,110.366356,65.84502629171212
240,117.703964,337.79015889657313
241,174.17072,282.25993840256086
242,224.62436,388.0006942017161
243,279.56326,324.30747320894284
244,147.21268,-63.66603044937602
245,176.00601,21.124727667003203
246,142.19637,64.7725105005021
247,170.16344,26.219601131891395
248,308.38214,284.17932226551517
249,525.0956,398.2598443854188
250,595.74396,442.0146998621599
251,291.24344,105.97515069160498
252,316.2406,341.05220113471194
253,249.07294,-84.67312531127278
254,263.42136,279.8005284489912
255,454.78082,228.39020609119595
256,705.1378,573.4185027383058
257,743.77716,263.78383339483787
258,374.55704,334.3693153358438
259,311.50043,206.2025355251498
260,166.30482,159.95338493865805
261,135.16014,-151.72365237930893
262,326.6,-128.94565737545793
263,612.5754,-309.45283408669303
264,651.3339,255.01199693843193
265,218.5343,-71.06229846556194
266,49.318047,259.26090285212587
267,-159.26778,129.919518644141
268,-238.6264,415.87003496354197
269,-77.66356,535.2417377934067
270,248.24434,662.8739502194032
271,336.80453,827.1570985620108
272,-55.90598,715.8353445623233
273,-269.2953,-297.25764684798895
274,-430.77063,-446.43290360405706
275,-405.84583,-182.41992288010104
276,-304.04425,170.0771536528381
277,-150.76022,171.7183810678551
278,-16.296509,3.8324752854328117
279,-201.08841,-48.72465656448666
280,-111.567215,-325.280621087176
281,-141.94618,178.2524354853229
282,-90.45284,54.950820418486686
283,-36.565254,219.7290368970438
284,75.40134,249.33809837373298
285,175.818,66.73774892722115
286,238.25601,217.38133381385893
287,-62.87126,121.43398921489995
288,52.197517,54.41361023078105
289,77.17375,68.44893874990954
290,152.05334,33.61964268537216
291,244.85533,120.6705921970281
292,318.36023,382.7813840101919
293,210.69257,554.7006414024469
294,233.78874,408.7804047559727
295,257.405,561.1049297450368
296,259.0755,639.74932825063
297,351.09378,532.8230965160677
298,405.9323,377.0215005595838
299,431.6741,343.7239807790502
300,357.50507,381.4892963614411
301,335.89355,428.74344902886895
302,286.08667,-46.64116658953037
303,249.60942,68.18564290009604
304,195.10854,-668.702078051364
305,115.275955,-650.6261263452302
306,115.356186,-161.82286497863987
307,84.303665,-143.84702298863402
308,16.214798,-188.6358164219731
309,-60.01982,122.27968303358803
310,-62.98463,234.74371399521277
311,13.863147,151.6271011979949
312,29.718212,-50.19525268884865
313,196.92122,-9.701441164470685
314,256.7511,61.17614670320857
315,226.6449,-147.12849362669607
316,160.78764,-226.64405368551095
317,133.09547,-346.48260324629393
318,149.40619,-215.71908566768707
319,155.92914,-299.48762741790597
320,298.57037,-340.6926374075351
321,334.64896,109.03794048525202
322,256.83908,90.63410775348791
323,178.00407,-30.414468150504902
324,126.468605,-268.78857658260097
325,94.25234,227.35139523163912
326,101.47503,-93.93316233867208
327,175.75108,-209.51967200894097
328,282.2259,209.1933904946449
329,289.62283,169.41606404632893
330,344.6252,369.9771218739163
331,316.5968,583.1446507110157
332,327.64017,359.0386260635247
333,357.0829,-155.65679891545304
334,382.9997,-171.5087185862399
335,482.2882,374.3853393757443
336,459.17932,275.9146172894209
337,368.21948,-230.435294850925
338,320.97736,107.45582988200913
339,235.47536,-358.98605165060695
340,349.1476,-121.64392331301195
341,436.5645,-153.81613600827384
342,613.8311,77.00567914428701
343,655.27026,153.89138579465305
344,613.77844,224.3145328709708
345,728.2089,260.28802962892826
346,635.5817,209.26605353635804
347,656.798,321.734381145108
348,624.7143,-109.79079835179914
349,726.23083,-34.55376686546819
350,608.214,-2.3100217353368264
351,657.2542,119.656486064071
352,509.37433,-409.0014010150351
353,591.41516,119.42539794965113
354,573.5922,482.28984123409896
355,569.2956,24.244200303669835
356,683.42004,295.45595262645304
357,564.373,135.87296153084213
358,787.23315,472.62868205389924
359,446.72104,-283.041745906571
360,483.59445,-578.7986904573121
361,550.20544,-114.23631636983609
362,511.9329,-605.053518623652
363,207.16322,-1258.22967801953
364,145.74893,-1501.1329380842
365,-556.6983,-1752.1857261921703
366,-899.66064,-1276.57367019932
367,-282.25137,-746.152027306062
368,54.146027,-22.758660387068304
369,-330.48114,323.3397578502027
370,-1107.3412,-928.1603387921568
371,-387.05228,-1285.54090257168
372,-473.66705,-1057.41577776878
373,-204.5245,-156.81008258759715
374,49.14133,-109.77932232208592
375,61.98094,329.4406990522268
376,-144.19019,52.67432116122167
377,-338.58322,468.1035535296261
378,194.45108,-153.237778341599
379,450.23425,151.5438296775511
380,262.42984,518.7343497335152
381,221.88893,526.9547538194022
382,-97.27502,450.95780836584424
383,36.98055,400.204508868658
384,376.70178,613.5749667636901
385,383.8509,197.48365332199512
386,342.0598,441.9965336669281
387,132.3914,551.3313577035323
388,238.15286,396.7853916599752
389,196.31874,259.7105494757578
390,408.79538,378.83367999457516
391,521.75024,718.9552908274721
392,291.2803,769.6766145191392
393,246.76,753.0993472734591
394,124.974976,435.37772554840825
395,264.9311,460.7403168287972
396,179.40138,334.3153049117379
397,271.159,205.50000137261625
398,267.98526,279.7395392066693
399,82.27152,379.88464157735785
400,-11.862691,585.7131574061073
401,-51.75559,141.11371553992606
402,24.503195,-30.97251264237583
403,21.20571,-73.96046550678979
404,76.60474,-335.12856287701385
405,108.1225,-144.62517583757798
406,148.3628,196.6273036480801
407,83.49613,312.9653829757391
408,64.06884,531.6879897070477
409,-22.658543,251.54436108251392
410,-14.503807,-172.2480539202029
411,-155.89517,-131.85605649764102
412,-104.95521,76.73046356607986
413,-172.42952,221.6517563447509
414,-206.58221,-41.27575948464177
415,-173.90038,375.64137688443276
416,-162.27486,311.19210874133296
417,-211.40059,30.820503393446316
418,-218.79968,461.4072109522428
419,-106.637794,363.30946687967685
420,-213.59148,100.64552301282912
421,-202.0327,308.81802224202517
422,-160.95422,75.0104180053298
423,-102.63794,77.96569830375464
424,-105.42154,634.7763382942261
425,70.16619,751.213893024564
426,77.45718,578.2345252121728
427,186.52913,406.0769342850609
428,117.77381,668.6482718155032
429,65.870674,662.8517832250424
430,81.00634,624.9773931417608
431,5.383169,208.7861153582861
432,14.77785,998.6790192135949
433,-85.1655,112.41307113497997
434,132.48558,697.805312745305
435,231.67902,121.53822342660801
436,360.4939,247.49353309706783
437,583.74005,-24.065896938330965
438,710.80817,-119.61119805336196
439,767.8119,-325.57538106396584
440,630.39764,-696.7592499898678
441,510.98474,-954.4960652676139
442,298.81662,-824.3925088856379
443,280.98224,-666.0568721986991
444,-21.08871,-29.53402411411022
445,-130.43929,-9.040426690145877
446,-14.426059,-926.6132248500111
447,-131.22125,-1396.21129481469
448,-186.06473,-1407.29454165396
449,-148.3144,-1552.44184089855
450,34.44041,-1163.55627152483
451,-6.47545,-796.1657091872369
452,236.6837,-318.03193581840696
453,512.0698,-620.626854171063
454,458.57935,-712.600692822312
455,472.08307,-911.4895040809993
456,599.31726,-1285.88008888057
457,661.62146,-1245.42889705087
458,475.55167,-875.851727928832
459,9.480749,-730.5077604790271
460,-171.7829,-937.6778777922141
461,-435.13663,-1355.32674961784
462,-586.08044,-865.3143642384
463,-418.98776,-754.6882961561929
464,-377.89377,-615.9433004090761
465,-353.5877,-536.0326171539632
466,-541.9329,-673.1020242061588
467,-224.5055,-890.348414685339
468,-117.099266,-572.0615875110961
469,-79.871796,-302.526862767645
470,-116.9289,-259.5642360446
471,-155.86714,-1158.58474020781
472,-250.65724,-395.75732591889204
473,-343.6339,-928.2217876904418
474,-442.14526,-2628.14354517669
475,-249.17957,-1320.54247861743
476,-203.74641,-1076.40136808559
477,-259.44186,-1402.5256163370002
478,-238.1325,-861.6428112920911
479,-257.84338,-433.6869676727821
480,-354.66318,-44.26103570562792
481,-661.8547,-606.1155184735229
482,-367.20633,-1115.23735796974
483,-285.19852,-1086.5648544158003
484,-300.35944,-815.4178286773707
485,47.329117,276.2949511747259
486,-43.79584,-349.8617282348651
487,52.10258,101.59406729189399
488,-170.90599,-252.07243650896913
489,295.8947,-563.0622622235811
490,573.24963,-670.6185953766737
491,503.49924,-684.270473794101
492,610.61896,-1011.7090181430502
493,762.7245,-1146.49729628149
494,736.3743,-823.067403247898
495,477.3241,-34.350575418357096
496,115.72804,-494.56313098444014
497,-166.80779,-591.7089518457061
498,-441.50546,-216.122031040322
499,-450.45642,-826.0572192404278
500,-94.63251,-379.576624679039
501,98.10847,9.382888622997916
502,-79.52704,-709.02936194694
503,36.344,-293.820138767238
504,115.24158,-102.88089518968292
505,127.30804,-623.915134019014
506,158.92493,-615.214044286319
507,313.2298,-494.2881879374901
508,318.23788,-267.54233231604303
509,59.654224,-232.6252299692651
510,96.87069,-58.76704227429817
511,97.80444,-92.09146927534361
512,149.2188,-254.09044901404403
513,213.5324,128.24275246429107
514,287.6844,520.583110026623
515,274.3854,474.78962530781007
516,186.88162,-392.2982399364939
517,152.65225,-544.857951089212
518,101.78339,-560.0798654575399
519,64.37658,-713.7119223975209
520,111.335884,-357.921094986785
521,119.67771,-512.193928696321
522,215.87753,-115.86525941054114
523,40.343857,-1238.00245346182
524,16.074635,-575.0358163144301
525,-5.1665845,-254.807707716917
526,-28.58398,-255.4010000602769
527,74.343994,-37.24842707676256
528,167.26027,104.06158123723004
529,240.08357,400.61862504548697
530,118.7881,-51.42172531131108
531,127.34428,3.5264841981059485
532,134.59933,-12.417177040159949
533,110.07116,-46.160397226877585
534,235.07547,42.948359283088315
535,344.22903,160.06623706697303
536,356.04056,271.6999172060358
537,191.92984,77.59620702851014
538,168.20036,-61.38534928008976
539,124.16001,-74.93509896610458
540,80.7703,-300.018140053694
541,158.26422,-84.16408502953382
542,259.27838,243.090995023423
543,277.9708,253.75827988644892
544,313.573,777.0380774768951
545,-211.03616,30.079968221166595
546,-152.6553,53.022399760974196
547,-106.417244,355.84682090330296
548,-0.7683889,587.3420991956519
549,114.047165,678.9167378404481
550,200.90991,622.8655695022833
551,55.899853,422.7369658413881
552,60.3188,668.8437208691929
553,-1.7106603,65.73479379906144
554,40.75753,76.04533731949577
555,92.27332,276.01897924922014
556,229.35121,605.4121181129519
557,301.36868,851.4378052585507
558,192.61006,291.4662669455282
559,173.11368,366.15763233783525
560,111.55086,291.2555245900561
561,141.20561,297.74480009590906
562,214.60258,522.3646223089447
563,272.60214,548.7264737916029
564,312.66232,804.2699186636446
565,270.5079,498.113258640533
566,212.2878,220.14873198312114
567,140.3863,306.2628872180541
568,132.40349,474.12171263902286
569,198.0196,525.231417467512
570,186.384,737.3990057327992
571,226.44138,819.74945077815
572,259.00302,500.952560510556
573,198.04082,126.1982281081151
574,130.43903,302.18662338300106
575,114.88087,303.3680207138503
576,176.24065,259.64041566012486
577,160.5976,286.5729646017951
578,234.99678,452.49512278415824
579,307.02542,343.6551415434478
580,236.98851,416.1013038419682
581,159.37051,547.0034949136699
582,145.90845,502.6338167124609
583,215.49747,538.9665335889949
584,237.11116,600.8981278854379
585,319.70456,591.144413537738
586,298.0568,598.9778560912416
587,236.26337,429.7434147418081
