"RMSE_k_fold","Rsquare_k_fold","MAE_k_fold","index"
6770.30775894064,0.451835866321759,6201.50865927108,1
6770.30775894064,0.451835866321759,6201.50865927108,2
4804.58377005119,0.429397923864079,4226.48697715023,3
51475.6028703027,0.564683860412547,43211.9194580011,4
5589.33244744969,0.420792230478843,4767.20291683886,5
5080.21860320025,0.468494466828073,4394.13763633306,6
4138.03188464348,0.447374028731726,3523.5089937668,7
4663.64268544849,0.564945801358628,4145.90897227735,8
4974.03342087895,0.514402913967215,4403.89016906425,9
8824.96404144591,0.493909521562171,7938.1238747262,10
18076.3388652605,0.472295671100193,14912.1920197572,11
6934.74947262276,0.56121027901778,5773.68602251532,12
26727.0780776331,0.510003027218612,24042.3820410076,13
5229.86867146745,0.568651887849707,4461.95907234386,14
8224.85766163239,0.567265442100285,7397.58489400332,15
15810.7344725287,0.40904274012326,12837.4679719072,16
12748.7906780182,0.543654587370167,11690.8602144771,17
13158.6986030973,0.587752156791975,11163.2405079727,18
6770.30775894064,0.451835866321759,6201.50865927108,19
4836.77404976943,0.475198339303544,3987.15947533622,20
4965.93569850641,0.510706234729275,4147.74689522305,21
4596.20921970318,0.559758674172134,4024.31156906362,22
4530.40447625173,0.550374702356159,3917.59381333812,23
5220.11899981447,0.520643595658923,4215.90073771429,24
5676.20920872042,0.533326709761208,4766.20591565256,25
5178.62684306312,0.489461050816584,4246.70648787628,26
4565.92368438405,0.554453856079585,3706.01112228343,27
6768.30778451895,0.524593368462226,5457.26294915502,28
8695.64397306909,0.480945908861651,7371.92262898995,29
4462.92016172768,0.527668248261874,3971.24483633639,30
4833.57164873225,0.510631369534156,4141.87649235307,31
15810.7344725287,0.40904274012326,12837.4679719072,32
8895.05032232407,0.479002445455272,7356.37414772303,33
3964.38666836082,0.517943856171592,3351.35706480142,34
12748.7906780182,0.543654587370167,11690.8602144771,35
6726.49736800079,0.566628015017204,5610.19473682374,36
13158.6986030973,0.587752156791975,11163.2405079727,37
7462.23287123556,0.514797501956196,6712.78105884347,38
4804.58377005119,0.429397923864079,4226.48697715023,39
3788.20599951118,0.591445199082424,3369.71797276702,40
8616.88642279036,0.519835562142337,7185.54160994523,41
7337.92490674435,0.487830715297079,6456.57615712336,42
3688.58835224282,0.4478692506354,2980.8405644807,43
4228.468840002,0.562884744380696,3738.5470459123,44
10038.2435399735,0.55483500029686,8652.03341079378,45
8224.85766163239,0.567265442100285,7397.58489400332,46
134532.008555488,0.525823679953225,112678.030794141,47
8682.84671034531,0.569253388645455,7074.91632773002,48
19945.431104341,0.584191692212056,18321.4398138295,49
4361.05480792689,0.579874576883749,3682.13873400136,50
19184.752459927,0.451179080744626,15868.6519536202,51
20910.1439234525,0.48941019791943,18768.4999509526,52
26052.3956639789,0.503602559318383,24214.5408458085,53
5363.91075225095,0.432418887875401,4730.27959693785,54
4032.52247052549,0.549206240367707,3516.48717792543,55
4925.26495072734,0.49952028542799,4211.37581359323,56
20596.4453749577,0.451344118977912,17050.7163387893,57
10701.221878455,0.433952993375368,8768.4686800908,58
4340.01312786511,0.505010571692143,3746.07946515055,59
4596.7166481709,0.424644206447564,4117.2927773299,60
5198.57100499768,0.481685444355499,4531.66316616719,61
9862.86283163325,0.436022162097385,8767.58017110525,62
24404.8528524479,0.494416446483496,21127.7364164702,63
5589.33244744969,0.420792230478843,4767.20291683886,64
12289.6382399862,0.412770565001222,9869.68912737305,65
5618.83831329277,0.523477230660183,4586.87230480631,66
5194.19297908407,0.518262543068269,4457.86211550391,67
4960.95628227526,0.542790064869207,4396.31339802473,68
18366.1549160414,0.32829006162964,15347.9346083984,69
5660.2966703206,0.418207990293965,4897.08947756521,70
5354.65409487243,0.517306131356316,4514.70450187729,71
8419.91370257505,0.594454361045757,6910.51566404448,72
142405.844389902,0.494850462010386,112972.517394529,73
4974.03342087895,0.514402913967215,4403.89016906425,74
5229.86867146745,0.568651887849707,4461.95907234386,75
13946.2970164765,0.455154170539655,11601.5920265736,76
26266.9455480027,0.464569734997948,24432.7405180539,77
5979.63065039063,0.581700176617552,5239.29656496926,78
6886.61947094546,0.584357420663746,5402.77617642509,79
5693.19169763661,0.432512662921734,4739.4905250247,80
5080.21860320025,0.468494466828073,4394.13763633306,81
6770.30775894064,0.451835866321759,6201.50865927108,82
6934.74947262276,0.56121027901778,5773.68602251532,83
4653.41234244583,0.454166488434484,3813.60923157351,84
3929.24517756763,0.553602932258329,3396.15514628954,85
51475.6028703027,0.564683860412547,43211.9194580011,86
8445.01879870269,0.519543195677934,7293.47610254737,87
4751.58089243827,0.522743079521353,3933.25258707926,88
5644.49661370824,0.514961310433046,5047.31976503007,89
