"AICC","sum_nine","sum_all","p","q"
31293.8858787363,0.63489614714194,1.30971213350342,1,1
31266.9312425125,0.654324924665299,1.08987175947985,2,1
31268.9293925628,0.653972579150919,1.09000330689225,3,1
31270.8844992107,0.653747133732823,1.09229815192106,4,1
31268.1819017881,0.642370765305317,1.07825787148274,5,1
31267.7624938111,0.558234011966882,1.937999805483,6,1
31268.2869577356,0.558100648172191,1.97790955028316,7,1
31220.368997579,0.614278276059275,1.06941970908867,8,1
31219.1435600338,0.618274368719092,1.06881120482514,9,1
31268.3621762667,0.655617800947919,1.08131058615193,1,2
31268.9401713419,0.653880593882199,1.09095036302491,2,2
31270.9461633908,0.654011523654483,1.0889366032985,3,2
31267.7286394125,0.654147878883695,1.09462762172432,4,2
31268.6557533014,0.654336207773541,1.08375814377266,5,2
31263.756023628,0.550962299573107,2.01773195071759,6,2
31265.0951326278,0.548563082643713,2.00087978400245,7,2
31220.228483961,0.616717505608797,1.069204061785,8,2
31220.5416788499,0.618434186703557,1.06795618028521,9,2
31268.9817471839,0.653598871716426,1.09491043379547,1,3
31270.2668585007,0.657766667374913,1.07813035873335,2,3
31254.4821671912,0.628072811090636,1.1781614852948,3,3
31265.3231144705,0.657956822082324,1.08449911463515,4,3
31245.7095115088,0.61231476351501,1.07490310205296,5,3
31263.6367598866,0.54531547519615,1.93343610901412,6,3
31218.7303694848,0.606380416647336,1.07122742583689,7,3
31219.3273669999,0.616200508642072,1.06762926154126,8,3
31221.0487179941,0.617555492712233,1.0673023967975,9,3
31271.5654046582,0.623662216313481,1.23828974272474,1,4
31268.6825715506,0.653016405270038,1.10646814275527,2,4
31244.2053289866,0.610074869943799,1.0763459373806,3,4
31256.9956761697,0.628061837300106,1.18851039769736,4,4
31254.2919652729,0.649202656032979,1.10943019518877,5,4
31247.6111155239,0.615935193079651,1.07281993036028,6,4
31219.694594753,0.611858893219187,1.06918469047921,7,4
31220.4523615357,0.617818503132725,1.06730745668378,8,4
31223.352538099,0.616642571390019,1.06750311267056,9,4
31270.8909351923,0.611314446269973,1.28247895108047,1,5
31258.4814757491,0.589567098239492,1.44078112931698,2,5
31251.7635078584,0.61710306630733,1.25693108983208,3,5
31243.059942718,0.611107272290765,1.07434276346742,4,5
31243.8351035047,0.627561348170666,1.06932609287652,5,5
31247.2712453362,0.641447895776818,1.12822129125959,6,5
31221.6717192143,0.612690042687353,1.06914688439733,7,5
31222.4054651509,0.617305752798935,1.06781656750645,8,5
31226.7969980074,0.607215887055014,1.07087480787782,9,5
31263.108119852,0.622930869770586,1.22985231771312,1,6
31245.2424288737,0.607126049657041,1.30247511703172,2,6
31243.0133074726,0.598346921272668,1.3840989572786,3,6
31244.1221158991,0.606748497328346,1.32661470463963,4,6
31247.0496699116,0.615082043229906,1.07365348711068,5,6
31245.4303237091,0.63548038796132,1.15989521986166,6,6
31221.8681101129,0.615538204654663,1.06873121180193,7,6
31223.8856659878,0.613535020902256,1.0699216590428,8,6
31221.5650046052,0.603149507500472,1.07059771343718,9,6
31253.2818732379,0.591549547512236,1.39631345529446,1,7
31244.9454087337,0.596964982437652,1.37677323325997,2,7
31244.2557562996,0.602447290710343,1.35325774537719,3,7
31227.9014089154,0.620041146292045,1.06782121776088,4,7
31229.562624738,0.619857295352552,1.06767254068875,5,7
31226.1738446318,0.622903542759268,1.06707635603726,6,7
31223.8522393899,0.61497671540085,1.06883193121195,7,7
31225.5473114164,0.615460832501422,1.06866623421821,8,7
31225.271342158,0.613811302456831,1.06984500481236,9,7
31219.5762234726,0.627409040796982,1.07291916730657,1,8
31221.3914968539,0.625204897830708,1.07157221977149,2,8
31222.3776161056,0.624316884366418,1.06724532816825,3,8
31223.767006455,0.619080725304507,1.06918994907059,4,8
31225.6509992055,0.61883140081453,1.06806143289899,5,8
31223.4967941925,0.617433841084889,1.0697961830434,6,8
31225.3257197255,0.615201959589707,1.06958325653255,7,8
31227.6059442871,0.614343992974749,1.06856576774136,8,8
31228.5165326679,0.612065133601227,1.06834518402497,9,8
31221.2905652212,0.623156362841171,1.07004453245039,1,9
31223.6007239232,0.626855409384801,1.07273338831285,2,9
31224.2308014844,0.62185976279875,1.06733987762262,3,9
31226.1726662805,0.622395492391588,1.06685702522895,4,9
31226.2781698946,0.618526418296378,1.06858396313173,5,9
31225.4616659097,0.616874032887354,1.0702584497483,6,9
31227.4629475254,0.615422185650266,1.06982027958753,7,9
31229.363151355,0.615965461377313,1.06987962544107,8,9
31229.4320302519,0.610932348031608,1.06866758669778,9,9
31231.4299202919,0.653113176846778,1.12765474138207,1,10
31225.292925637,0.622962236024853,1.06958759455732,2,10
31222.8499802874,0.620101449056884,1.06982768135978,3,10
31224.1002131274,0.619671317087001,1.06828504493151,4,10
31226.0924309796,0.621587837843737,1.06881681276112,5,10
31227.7973266737,0.61910775719,1.06863533181949,6,10
31230.0108554859,0.616208923372611,1.07198289208321,7,10
31231.3985375093,0.615763106619646,1.06991797092587,8,10
31228.7895186994,0.616524963187483,1.07072921113204,9,10
31224.6671541271,0.623229589495954,1.06783148135406,1,11
31226.6491598519,0.624631359965876,1.06746751775708,2,11
31220.2778369148,0.613856782999488,1.06786933086711,3,11
31231.0956332236,0.626104108896112,1.0730278124349,4,11
31223.1436799741,0.620901004607595,1.07134482518312,5,11
31228.2923044192,0.623914222214556,1.06569703550891,6,11
31231.7549301139,0.627779060432175,1.06623736549718,7,11
31233.4249995289,0.616019640418424,1.07075803042157,8,11
31235.4586527501,0.615610994132026,1.06958249364696,9,11
31225.4022646755,0.62538204403938,1.08198852986596,1,12
31226.3203277578,0.635501161590004,1.09560576480584,2,12
31226.0435970303,0.62156710406639,1.06993918493807,3,12
31232.6049154991,0.623818690815276,1.06853915776917,4,12
31224.5397143962,0.617757132258025,1.07001128997134,5,12
31229.9119030474,0.621427146048599,1.0697520375852,6,12
31227.3898501488,0.651151557122107,1.07747298223137,7,12
31223.1559253933,0.63137525062474,1.06739694991728,8,12
31232.4270123546,0.613873519451158,1.07016404311174,9,12
31227.3337753925,0.624255014017343,1.08199372747944,1,13
31226.3870183794,0.628301192175395,1.08721891963976,2,13
31228.0117535792,0.621154264635958,1.0708919035123,3,13
31228.0586808865,0.620099018311244,1.06789738225683,4,13
31227.7184014967,0.620454580966616,1.06840942820455,5,13
31233.4689902444,0.623582127884155,1.07619372921641,6,13
31234.519814689,0.615002958428682,1.06945600205384,7,13
31225.2306610697,0.648421609471149,1.06074810424671,8,13
31229.007223931,0.611823509808954,1.07594714806733,9,13
31229.2100442337,0.625164477052306,1.08339037238553,1,14
31221.424315804,0.620212972684323,1.08468257977354,2,14
31228.9286380008,0.62699811257854,1.08156506511559,3,14
31230.4297197184,0.622073355949458,1.06920218452965,4,14
31231.922923149,0.622148900478614,1.06801450900254,5,14
31234.1092500172,0.617534811580617,1.06817099553343,6,14
31237.8719016974,0.618174759465181,1.0730111048972,7,14
31238.3918080108,0.618163200133264,1.06911475332997,8,14
31231.5042609012,0.62337369525898,1.07865743722886,9,14
31231.1620174618,0.624966499060818,1.08472129639667,1,15
31228.546556649,0.627146870473466,1.08139154756552,2,15
31230.4851173153,0.627781536809707,1.08123336750008,3,15
31232.9365837655,0.622390189920415,1.06773943919231,4,15
31231.2825018883,0.619881658325667,1.06933457977921,5,15
31236.9776580075,0.633255224746204,1.08795445517595,6,15
31234.2476477043,0.620444990943449,1.07134449167515,7,15
31233.1222923017,0.639115089970063,1.07280483638422,8,15
31231.8632209701,0.615987977319892,1.07699978148799,9,15
31231.0429677551,0.623499015137035,1.07768267547734,1,16
31230.5023038453,0.628017875811211,1.0820970803593,2,16
31232.5541253184,0.628047634553736,1.08211087586129,3,16
31222.2129481266,0.610458310011999,1.01853518065171,4,16
31230.8045568658,0.614166472798681,1.07267941719522,5,16
31239.8250788371,0.626152912701428,1.08018473610612,6,16
31231.6978149925,0.621965733668351,1.06391079373361,7,16
31229.9612898542,0.623982821752201,1.05444170658894,8,16
31226.0845383402,0.622080034459389,1.06940464253624,9,16
31233.0856554044,0.623575986932987,1.0776484074192,1,17
31225.1872362415,0.619782191581631,1.08093460938582,2,17
31227.3726905481,0.6178220046192,1.07766415049615,3,17
31230.8959327527,0.613166230312892,1.07240474211693,4,17
31227.2687459074,0.644120016817752,1.07914574895739,5,17
31230.4754712994,0.63092241769397,1.07946468845874,6,17
31223.7979195525,0.632419958520035,1.09084859521337,7,17
31243.719790865,0.618425357519874,1.07020615809275,8,17
31225.6530393441,0.622113411924856,1.07076510396477,9,17
31235.0753622127,0.625310135890908,1.07868355734822,1,18
31232.891763179,0.624945463678115,1.06947848433617,2,18
31235.7314651297,0.625068962552402,1.07579297144945,3,18
31236.0746665648,0.618330960878422,1.06495519423141,4,18
31228.9220027874,0.643189408239023,1.07875744503008,5,18
31223.1917628647,0.643584836266727,1.07804559809158,6,18
31237.3715998442,0.620199538243702,1.06839769842132,7,18
31232.0395694735,0.623121031107053,1.07876349517604,8,18
31225.3974962885,0.624910289184801,1.06717197457293,9,18
