"year","month","day","wday","temp","HD","CD","HD_2","CD_2","HD_3","CD_3","HD_m1","HD_m2","CD_m1","CD_m2","temp_m1","temp_m2","jan","feb","mar","apr","mai","jun","jul","aug","sep","okt","nov","we","ToD","mon","tue","wed","thu","fri","sat","mid_load"
2013,1,"HD","Di",-4.09783204535102,22.397832045351,0,501.662880331753,0,11236.1609370576,0,22.4,22.4,0,0,-4.097,-4.097,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,77.25388127854
2013,1,"WD","Mi",-3.91993778043757,22.2199377804376,0,493.725634966517,0,10970.5528895631,0,-4.09783204535102,22.4,0,0,-4.09783204535102,-4.097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1593.33721461187
2013,1,"WD","Do",-1.45640916332865,19.7564091633287,0,390.315703028856,0,7711.23673191042,0,-3.91993778043757,-4.09783204535102,0,0,-3.91993778043757,-4.09783204535102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2274.08721461187
2013,1,"WD","Fr",-0.694651278969414,18.9946512789694,0,360.796777209654,0,6853.20896567339,0,-1.45640916332865,-3.91993778043757,0,0,-1.45640916332865,-3.91993778043757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2413.67054794521
2013,1,"WE","Sa",-1.37635883644329,19.6763588364433,0,387.15909706048,0,7617.88132055539,0,-0.694651278969414,-1.45640916332865,0,0,-0.694651278969414,-1.45640916332865,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1948.87888127854
2013,1,"WE","So",-4.19586524312431,22.4958652431243,0,506.063953036809,0,11384.3464919188,0,-1.37635883644329,-0.694651278969414,0,0,-1.37635883644329,-0.694651278969414,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1253.25388127854
2013,1,"HD","Mo",-6.42275148202865,24.7227514820287,0,611.21444084215,0,15110.9027231677,0,-4.19586524312431,-1.37635883644329,0,0,-4.19586524312431,-1.37635883644329,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,531.25388127854
2013,1,"WD","Di",-7.81010393133026,26.1101039313303,0,681.737527304868,0,17800.2376918183,0,-6.42275148202865,-4.19586524312431,0,0,-6.42275148202865,-4.19586524312431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2577.54554794521
2013,1,"WD","Mi",-10.9632372866268,29.2632372866268,0,856.337056493424,0,25059.1944814986,0,-7.81010393133026,-6.42275148202865,0,0,-7.81010393133026,-6.42275148202865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3448.04554794521
2013,1,"WD","Do",-10.3422465029007,28.6422465029007,0,820.378284732926,0,23497.4770569474,0,-10.9632372866268,-7.81010393133026,0,0,-10.9632372866268,-7.81010393133026,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4119.58721461187
2013,1,"WD","Fr",-4.49243574166135,22.7924357416613,0,519.495127037762,0,11840.5593011143,0,-10.3422465029007,-10.9632372866268,0,0,-10.3422465029007,-10.9632372866268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3854.54554794521
2013,1,"WE","Sa",-5.40937031878317,23.7093703187832,0,562.134240913196,0,13327.8488866791,0,-4.49243574166135,-10.3422465029007,0,0,-4.49243574166135,-10.3422465029007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3048.79554794521
2013,1,"WE","So",-8.34715746761229,26.6471574676123,0,710.071001103725,0,18921.3737795961,0,-5.40937031878317,-4.49243574166135,0,0,-5.40937031878317,-4.49243574166135,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2479.25388127854
2013,1,"WD","Mo",-10.6185033018297,28.9185033018297,0,836.279833217934,0,24183.9611181664,0,-8.34715746761229,-5.40937031878317,0,0,-8.34715746761229,-5.40937031878317,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3989.00388127854
2013,1,"WD","Di",-5.74465858626417,24.0446585862642,0,578.145606530007,0,13901.3137221627,0,-10.6185033018297,-8.34715746761229,0,0,-10.6185033018297,-8.34715746761229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4381.25388127854
2013,1,"WD","Mi",-0.584317614571634,18.8843176145716,0,356.617451768021,0,6734.47722608644,0,-5.74465858626417,-10.6185033018297,0,0,-5.74465858626417,-10.6185033018297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3463.46221461187
