"year","month","day","wday","mid_load","lstm","index","target_residuals","lm_pred","arima_lstm","stoch","full_model","res_full_model","res","arima_res","arima","arima_up","arima_up2","arima_low","arima_low2"
2013,1,"HD","Di",77.25388127854,0,1,-157.162193891411,234.416075169951,-156.987705332202,-156.987705332202,77.4110433765445,-0.174488559208669,-157.162193891411,-0.157162098004534,-157.005031793406,0,0,0,0
2013,1,"WD","Mi",1593.33721461187,0,2,157.162193890061,1436.17502072181,-129.154245172998,-129.154245172998,1308.8390224956,286.316439063059,157.16219389006,284.498192116271,-127.335998226211,0,0,0,0
2013,1,"WD","Do",2274.08721461187,0,3,-679.388544721431,2953.4757593333,30.5249184182406,30.5249184182406,2979.22326072929,-709.913463139672,-679.38854472143,-705.136046117422,25.7475013959918,0,0,0,0
2013,1,"WD","Fr",2413.67054794521,0,4,-356.130926116677,2769.80147406189,-445.59447467035,-445.59447467035,2327.01943674941,89.4635485536733,-356.13092611668,86.6511111957956,-442.782037312476,0,0,0,0
2013,1,"WE","Sa",1948.87888127854,0,5,-12.6422084944368,1961.52108977298,-362.692382381152,-362.692382381152,1606.11258434906,350.050173886715,-12.6422084944402,342.766296929483,-355.408505423923,0,0,0,0
2013,1,"WE","So",1253.25388127854,0,6,-366.244730271257,1619.4986115498,-111.988742308713,-111.988742308713,1499.96162614186,-254.255987962544,-366.24473027126,-246.707744863321,-119.536985407939,0,0,0,0
2013,1,"HD","Mo",531.25388127854,0,7,-1307.63335844184,1838.88723972038,-271.303245478945,-271.303245478945,1557.57223435071,-1036.3301129629,-1307.63335844184,-1026.31835307217,-281.315005369665,0,0,0,0
2013,1,"WD","Di",2577.54554794521,0,8,-998.923731564265,3576.46927950947,-909.139460244187,-909.139460244187,2676.80342565283,-89.7842713200785,-998.92373156426,-99.2578777076167,-899.665853856644,0,0,0,0
2013,1,"WD","Mi",3448.04554794521,0,9,-726.262774415781,4174.30832236099,-878.183988595582,-878.183988595582,3304.92764672493,151.921214179801,-726.26277441578,143.117901220284,-869.380675636064,0,0,0,0
2013,1,"WD","Do",4119.58721461187,0,10,-172.981579766077,4292.56879437795,-794.606911199602,-794.606911199602,3501.52962212215,621.625331433525,-172.98157976608,618.057592489718,-791.039172255798,0,0,0,0
2013,1,"WD","Fr",3854.54554794521,0,11,-138.549348721873,3993.09489666708,-244.42676535578,-244.42676535578,3729.23101580104,105.877416633906,-138.54934872187,125.314532144169,-263.863880866039,0,0,0,0
2013,1,"WE","Sa",3048.79554794521,0,12,-364.682903470325,3413.47845141553,-85.4220774505716,-85.4220774505716,3314.13907513086,-279.260826019753,-364.68290347032,-265.343527185649,-99.3393762846715,0,0,0,0
2013,1,"WE","So",2479.25388127854,0,13,1.20408925997708,2478.04979201856,-379.737463841913,-379.737463841913,2118.07340074718,380.94155310189,1.20408925998026,361.180480531359,-359.976391271378,0,0,0,0
2013,1,"WD","Mo",3989.00388127854,0,14,132.938008469518,3856.06587280902,-354.799412927294,-354.799412927294,3525.17629639151,487.737421396811,132.93800846952,463.827584887035,-330.889576417515,0,0,0,0
2013,1,"WD","Di",4381.25388127854,0,15,546.243898220193,3835.00998305835,12.7715191522323,12.7715191522323,3823.00548472463,533.472379067961,546.24389822019,558.24839655391,-12.0044983337204,0,0,0,0
2013,1,"WD","Mi",3463.46221461187,0,16,-112.359133510357,3575.82134812223,367.268932950877,367.268932950877,3924.31454184979,-479.628066461234,-112.35913351036,-460.852327237917,348.493193727557,0,0,0,0
2013,1,"WD","Do",3321.17054794521,0,17,114.134912176627,3207.03563576858,32.298286964868,32.298286964868,3263.36134069309,81.8366252117589,114.13491217663,57.8092072521148,56.325704924515,0,0,0,0
2013,1,"WD","Fr",3255.54554794521,0,18,554.779509316056,2700.76603862915,-15.4184448318109,-15.4184448318109,2706.34692500942,570.197954147867,554.77950931606,549.198622935793,5.58088638026663,0,0,0,0
2013,1,"WE","Sa",1722.25388127854,0,19,-404.749689924668,2127.00357120321,269.689792942284,269.689792942284,2383.1003116769,-674.439482866952,-404.74968992467,-660.846430398362,256.096740473692,0,0,0,0
2013,1,"WE","So",1413.58721461187,0,20,-384.929265433314,1798.51648004518,-126.715749967738,-126.715749967738,1678.69667883158,-258.213515465576,-384.92926543331,-265.109464219711,-119.819801213599,0,0,0,0
2013,1,"WD","Mo",2771.87888127854,0,21,232.100659376585,2539.77822190196,-261.434632474499,-261.434632474499,2297.16533557402,493.535291851083,232.10065937658,474.71354570452,-242.61288632794,0,0,0,0
2013,1,"WD","Di",2769.92054794521,0,22,-10.709101691139,2780.62964963635,88.5925413622717,88.5925413622717,2836.90878198319,-99.3016430534108,-10.7091016911404,-66.9882340379806,56.2791323468402,0,0,0,0
2013,1,"WD","Mi",3093.29554794521,0,23,91.7857480795601,3001.50979986565,-52.833918088864,-52.833918088864,2932.66322660292,144.619666168424,91.7857480795597,160.632321342287,-68.846573262727,0,0,0,0
2013,1,"WD","Do",3242.71221461187,0,24,-118.283376821359,3360.99559143323,57.768569063933,57.768569063933,3427.19477219599,-176.051945885291,-118.28337682136,-184.482557584117,66.1991807627569,0,0,0,0
2013,1,"WD","Fr",3716.54554794521,0,25,-108.834852557542,3825.38040050275,-30.5930829629717,-30.5930829629717,3801.18632532932,-78.2417695945701,-108.83485255754,-84.6407773841082,-24.194075173432,0,0,0,0
2013,1,"WE","Sa",3028.75388127854,0,26,-768.261820862087,3797.01570214063,-234.676813620183,-234.676813620183,3538.97284042894,-533.585007241905,-768.26182086209,-510.218959150396,-258.042861711694,0,0,0,0
